amendment_id,contract_id,tender_id,date,previous_value,new_value,reason_code,approval_reference,description
C-0007-AM1,C-0007,T-0007,2026-11-30,22098604.21,23569165.18,price_variation_clause,,Price variation clause
C-0009-AM1,C-0009,T-0009,2023-05-30,23992240.06,28295193.29,time_extension_cost,,Time extension cost
C-0011-AM1,C-0011,T-0011,2024-04-01,7336232.15,7704551.61,scope_change_approved,APR/8905,Scope change approved
C-0011-AM2,C-0011,T-0011,2024-05-20,7704551.61,8091362.74,time_extension_cost,,Time extension cost
C-0019-AM1,C-0019,T-0019,2026-09-18,5150804.12,5326580.7,scope_change_approved,APR/9681,Scope change approved
C-0019-AM2,C-0019,T-0019,2026-10-06,5326580.7,5508355.84,site_condition_change,,Site condition change
C-0021-AM1,C-0021,T-0021,2024-03-16,6498408.31,6836505.92,site_condition_change,,Site condition change
C-0021-AM2,C-0021,T-0021,2024-05-01,6836505.92,7192193.98,site_condition_change,,Site condition change
C-0027-AM1,C-0027,T-0027,2025-07-27,3939673.51,4161431.43,scope_change_approved,APR/7761,Scope change approved
C-0027-AM2,C-0027,T-0027,2025-09-01,4161431.43,4395671.75,time_extension_cost,,Time extension cost
C-0027-AM3,C-0027,T-0027,2025-10-05,4395671.75,4643097.09,additional_quantities,,Additional quantities
C-0029-AM1,C-0029,T-0029,2026-10-12,5358296.53,5645672.51,site_condition_change,,Site condition change
C-0031-AM1,C-0031,T-0031,2025-04-11,12537879.37,13161750.7,additional_quantities,,Additional quantities
C-0031-AM2,C-0031,T-0031,2025-07-02,13161750.7,13816665.2,site_condition_change,,Site condition change
C-0031-AM3,C-0031,T-0031,2025-08-22,13816665.2,14504167.53,price_variation_clause,,Price variation clause
C-0032-AM1,C-0032,T-0032,2023-02-17,2445466.94,2573462.87,additional_quantities,,Additional quantities
C-0032-AM2,C-0032,T-0032,2023-02-13,2573462.87,2708158.13,site_condition_change,,Site condition change
C-0032-AM3,C-0032,T-0032,2023-04-30,2708158.13,2849903.34,price_variation_clause,,Price variation clause
C-0033-AM1,C-0033,T-0033,2025-12-10,1694551.5,1828075.54,price_variation_clause,,Price variation clause
C-0041-AM1,C-0041,T-0041,2023-09-06,6594692.85,7492595.11,price_variation_clause,,Price variation clause
C-0042-AM1,C-0042,T-0042,2023-05-29,2707176.87,3062196.95,additional_quantities,,Additional quantities
C-0044-AM1,C-0044,T-0044,2026-12-01,8138456.92,8791331.89,price_variation_clause,,Price variation clause
C-0057-AM1,C-0057,T-0057,2025-03-23,2955739.26,3074108.83,site_condition_change,,Site condition change
C-0057-AM2,C-0057,T-0057,2025-03-13,3074108.83,3197218.8,scope_change_approved,APR/3721,Scope change approved
C-0057-AM3,C-0057,T-0057,2025-06-28,3197218.8,3325259.0,site_condition_change,,Site condition change
C-0066-AM1,C-0066,T-0066,2023-12-21,9433146.07,11038823.68,additional_quantities,,Additional quantities
C-0071-AM1,C-0071,T-0071,2024-08-17,4671397.3,5021168.47,time_extension_cost,,Time extension cost
C-0071-AM2,C-0071,T-0071,2024-07-31,5021168.47,5397128.78,site_condition_change,,Site condition change
C-0072-AM1,C-0072,T-0072,2026-02-09,6444516.87,6859673.8,time_extension_cost,,Time extension cost
C-0081-AM1,C-0081,T-0081,2023-04-26,4179031.97,4810696.26,additional_quantities,,Additional quantities
C-0089-AM1,C-0089,T-0089,2024-03-19,5214010.32,5878224.19,scope_change_approved,APR/5738,Scope change approved
C-0101-AM1,C-0101,T-0101,2025-03-28,4764473.33,5018158.34,time_extension_cost,,Time extension cost
C-0101-AM2,C-0101,T-0101,2025-06-11,5018158.34,5285350.85,site_condition_change,,Site condition change
C-0105-AM1,C-0105,T-0105,2023-08-09,11228980.34,12104498.07,scope_change_approved,APR/4056,Scope change approved
C-0105-AM2,C-0105,T-0105,2023-10-10,12104498.07,13048279.45,time_extension_cost,,Time extension cost
C-0112-AM1,C-0112,T-0112,2024-04-21,15596036.79,17163533.0,time_extension_cost,,Time extension cost
C-0119-AM1,C-0119,T-0119,2024-01-06,3443046.49,3808443.8,price_variation_clause,,Price variation clause
