award_id,ocid,tender_id,vendor_id,value,award_date
A-0001,ocds-pgraph-T-0001,T-0001,V-0046,28170331.14,2024-08-10
A-0002,ocds-pgraph-T-0002,T-0002,V-0048,8369416.87,2023-12-06
A-0003,ocds-pgraph-T-0003,T-0003,V-0046,8159243.96,2024-01-04
A-0004,ocds-pgraph-T-0004,T-0004,V-0048,10317577.4,2025-12-14
A-0005,ocds-pgraph-T-0005,T-0005,V-0157,10243737.66,2024-03-08
A-0006,ocds-pgraph-T-0006,T-0006,V-0046,10866656.65,2024-10-09
A-0007,ocds-pgraph-T-0007,T-0007,V-0046,22098604.21,2026-05-24
A-0008,ocds-pgraph-T-0008,T-0008,V-0046,24123098.12,2023-02-01
A-0009,ocds-pgraph-T-0009,T-0009,V-0046,23992240.06,2022-11-25
A-0010,ocds-pgraph-T-0010,T-0010,V-0157,1172471.51,2026-01-03
A-0011,ocds-pgraph-T-0011,T-0011,V-0048,7336232.15,2023-12-13
A-0012,ocds-pgraph-T-0012,T-0012,V-0086,10889534.57,2024-05-15
A-0013,ocds-pgraph-T-0013,T-0013,V-0086,9005501.15,2024-04-28
A-0014,ocds-pgraph-T-0014,T-0014,V-0046,28616927.97,2023-04-08
A-0015,ocds-pgraph-T-0015,T-0015,V-0046,20196170.61,2022-11-27
A-0016,ocds-pgraph-T-0016,T-0016,V-0026,3358137.06,2024-12-16
A-0017,ocds-pgraph-T-0017,T-0017,V-0206,5955362.88,2025-01-23
A-0018,ocds-pgraph-T-0018,T-0018,V-0237,8268308.06,2024-12-11
A-0019,ocds-pgraph-T-0019,T-0019,V-S010,5150804.12,2026-04-16
A-0020,ocds-pgraph-T-0020,T-0020,V-0206,1774618.17,2022-11-18
A-0021,ocds-pgraph-T-0021,T-0021,V-0223,6498408.31,2023-12-20
A-0022,ocds-pgraph-T-0022,T-0022,V-0206,5438026.71,2026-07-12
A-0023,ocds-pgraph-T-0023,T-0023,V-0223,9120197.79,2024-12-17
A-0024,ocds-pgraph-T-0024,T-0024,V-S010,3498899.82,2025-06-12
A-0025,ocds-pgraph-T-0025,T-0025,V-0206,11823932.33,2024-01-29
A-0026,ocds-pgraph-T-0026,T-0026,V-0026,12866145.92,2025-12-07
A-0027,ocds-pgraph-T-0027,T-0027,V-0206,3939673.51,2025-05-05
