ocid,tender_id,vendor_id,bid_value,submitted_at,status,disqualification_reason,is_winner
ocds-pgraph-T-0001,T-0001,V-0046,28170331.14,2024-07-21T09:56:00,valid,,1
ocds-pgraph-T-0001,T-0001,V-0217,29850514.98,2024-07-21T15:23:00,valid,,0
ocds-pgraph-T-0001,T-0001,V-0173,34593475.46,2024-07-21T10:14:00,valid,,0
ocds-pgraph-T-0001,T-0001,V-0168,34460582.6,2024-07-21T16:07:00,valid,,0
ocds-pgraph-T-0002,T-0002,V-0048,8369416.87,2023-11-16T14:42:00,valid,,1
ocds-pgraph-T-0003,T-0003,V-0046,8159243.96,2023-12-15T09:32:00,valid,,1
ocds-pgraph-T-0003,T-0003,V-0168,8367704.27,2023-12-15T18:46:00,valid,,0
ocds-pgraph-T-0003,T-0003,V-0173,8651665.16,2023-12-15T14:51:00,valid,,0
ocds-pgraph-T-0003,T-0003,V-0186,10491010.57,2023-12-15T18:17:00,valid,,0
ocds-pgraph-T-0004,T-0004,V-0048,10317577.4,2025-11-24T14:17:00,valid,,1
ocds-pgraph-T-0004,T-0004,V-0240,10943623.22,2025-11-24T10:53:00,valid,,0
ocds-pgraph-T-0004,T-0004,V-0163,11815381.06,2025-11-24T12:00:00,valid,,0
ocds-pgraph-T-0005,T-0005,V-0163,11869142.45,2024-02-17T15:21:00,valid,,0
ocds-pgraph-T-0005,T-0005,V-0168,11447023.37,2024-02-17T16:33:00,valid,,0
ocds-pgraph-T-0005,T-0005,V-0157,10243737.66,2024-02-17T12:10:00,valid,,1
ocds-pgraph-T-0005,T-0005,V-0240,11497973.44,2024-02-17T09:05:00,valid,,0
ocds-pgraph-T-0005,T-0005,V-0086,11123374.03,2024-02-17T16:29:00,valid,,0
ocds-pgraph-T-0006,T-0006,V-0046,10866656.65,2024-09-19T09:08:00,valid,,1
ocds-pgraph-T-0006,T-0006,V-0173,10978303.01,2024-09-19T17:34:00,valid,,0
ocds-pgraph-T-0006,T-0006,V-0217,12429300.87,2024-09-19T15:38:00,valid,,0
ocds-pgraph-T-0006,T-0006,V-0159,12287575.02,2024-09-19T13:52:00,valid,,0
