contract_id,award_id,tender_id,vendor_id,original_value,final_value,sign_date,duration_days
C-0001,A-0001,T-0001,V-0046,28170331.14,28170331.14,2024-08-28,90
C-0002,A-0002,T-0002,V-0048,8369416.87,8369416.87,2023-12-11,240
C-0003,A-0003,T-0003,V-0046,8159243.96,8159243.96,2024-01-20,90
C-0004,A-0004,T-0004,V-0048,10317577.4,10317577.4,2026-01-08,240
C-0005,A-0005,T-0005,V-0157,10243737.66,10243737.66,2024-04-01,120
C-0006,A-0006,T-0006,V-0046,10866656.65,10866656.65,2024-10-24,120
C-0007,A-0007,T-0007,V-0046,22098604.21,23569165.18,2026-06-18,240
C-0008,A-0008,T-0008,V-0046,24123098.12,24123098.12,2023-02-28,365
C-0009,A-0009,T-0009,V-0046,23992240.06,28295193.29,2022-12-03,240
C-0010,A-0010,T-0010,V-0157,1172471.51,1172471.51,2026-01-23,180
C-0011,A-0011,T-0011,V-0048,7336232.15,8091362.74,2024-01-08,180
C-0012,A-0012,T-0012,V-0086,10889534.57,10889534.57,2024-05-27,90
C-0013,A-0013,T-0013,V-0086,9005501.15,9005501.15,2024-05-30,120
C-0014,A-0014,T-0014,V-0046,28616927.97,28616927.97,2023-04-28,90
C-0015,A-0015,T-0015,V-0046,20196170.61,20196170.61,2022-12-05,120
C-0016,A-0016,T-0016,V-0026,3358137.06,3358137.06,2025-01-18,120
C-0017,A-0017,T-0017,V-0206,5955362.88,5955362.88,2025-02-20,240
C-0018,A-0018,T-0018,V-0237,8268308.06,8268308.06,2024-12-27,180
C-0019,A-0019,T-0019,V-S010,5150804.12,5508355.84,2026-04-26,240
C-0020,A-0020,T-0020,V-0206,1774618.17,1774618.17,2022-12-13,120
C-0021,A-0021,T-0021,V-0223,6498408.31,7192193.98,2024-01-15,240
C-0022,A-0022,T-0022,V-0206,5438026.71,5438026.71,2026-07-21,365
C-0023,A-0023,T-0023,V-0223,9120197.79,9120197.79,2025-01-07,365
C-0024,A-0024,T-0024,V-S010,3498899.82,3498899.82,2025-06-18,240
C-0025,A-0025,T-0025,V-0206,11823932.33,11823932.33,2024-02-16,240
C-0026,A-0026,T-0026,V-0026,12866145.92,12866145.92,2026-01-10,90
C-0027,A-0027,T-0027,V-0206,3939673.51,4643097.09,2025-06-02,90
