tender_id,item_id,description,category_code,quantity,unit,unit_price_awarded
T-0001,T-0001-I1,Laptop and IT hardware supply,laptops_it,707,unit,39844.88
T-0003,T-0003-I1,Laptop and IT hardware supply,laptops_it,219,unit,37256.82
T-0006,T-0006-I1,Laptop and IT hardware supply,laptops_it,316,unit,34388.15
T-0007,T-0007-I1,Laptop and IT hardware supply,laptops_it,528,unit,41853.42
T-0021,T-0021-I1,Solar street lighting,solar_streetlight,499,unit,13022.86
T-0023,T-0023-I1,Solar street lighting,solar_streetlight,661,unit,13797.58
T-0026,T-0026-I1,Solar street lighting,solar_streetlight,817,unit,15748.04
T-0028,T-0028-I1,Solar street lighting,solar_streetlight,402,unit,17229.98
T-0029,T-0029-I1,Solar street lighting,solar_streetlight,342,unit,15667.53
T-0061,T-0061-I1,Ambulance procurement,ambulance_vehicle,15,unit,1736156.64
T-0067,T-0067-I1,Ambulance procurement,ambulance_vehicle,9,unit,1845461.49
T-0072,T-0072-I1,Ambulance procurement,ambulance_vehicle,3,unit,2148172.29
T-0075,T-0075-I1,Ambulance procurement,ambulance_vehicle,19,unit,1929031.42
T-0090,T-0090-I1,Ambulance procurement,ambulance_vehicle,11,unit,1689530.9
T-0104,T-0104-I1,Solar street lighting,solar_streetlight,125,unit,16561.47
T-0106,T-0106-I1,Solar street lighting,solar_streetlight,617,unit,11809.15
T-0130,T-0130-I1,Solar street lighting,solar_streetlight,546,unit,14237.86
T-0143,T-0143-I1,Solar street lighting,solar_streetlight,899,unit,13492.43
T-0146,T-0146-I1,Solar street lighting,solar_streetlight,159,unit,18255.92
T-0154,T-0154-I1,Solar street lighting,solar_streetlight,265,unit,15657.47
T-0159,T-0159-I1,Solar street lighting,solar_streetlight,740,unit,14522.5
T-0160,T-0160-I1,Solar street lighting,solar_streetlight,329,unit,11241.81
T-0161,T-0161-I1,Solar street lighting,solar_streetlight,368,unit,12688.37
T-0163,T-0163-I1,Solar street lighting,solar_streetlight,686,unit,14349.12
T-0164,T-0164-I1,Solar street lighting,solar_streetlight,364,unit,11438.88
T-0177,T-0177-I1,Solar street lighting,solar_streetlight,517,unit,16552.54
T-0185,T-0185-I1,Solar street lighting,solar_streetlight,804,unit,12008.32
T-0192,T-0192-I1,Solar street lighting,solar_streetlight,441,unit,16645.68
T-0194,T-0194-I1,Solar street lighting,solar_streetlight,511,unit,13486.58
T-0195,T-0195-I1,Solar street lighting,solar_streetlight,223,unit,12250.42
T-0196,T-0196-I1,Solar street lighting,solar_streetlight,650,unit,14438.66
T-0197,T-0197-I1,Solar street lighting,solar_streetlight,591,unit,14561.23
T-0202,T-0202-I1,Medical consumables supply,medical_supplies,53609,unit,561.41
T-0204,T-0204-I1,Ambulance procurement,ambulance_vehicle,13,unit,2280718.58
T-0205,T-0205-I1,Medical consumables supply,medical_supplies,38031,unit,592.65
T-0206,T-0206-I1,Generic drug supply,drugs_generic,284635,strip,31.94
T-0207,T-0207-I1,Generic drug supply,drugs_generic,242850,strip,33.74
T-0208,T-0208-I1,Medical consumables supply,medical_supplies,3938,unit,549.85
T-0212,T-0212-I1,Generic drug supply,drugs_generic,684659,strip,29.51
T-0213,T-0213-I1,Ambulance procurement,ambulance_vehicle,20,unit,2415286.6
T-0216,T-0216-I1,Medical consumables supply,medical_supplies,49893,unit,531.37
T-0219,T-0219-I1,Generic drug supply,drugs_generic,513775,strip,23.9
T-0220,T-0220-I1,Medical consumables supply,medical_supplies,18484,unit,568.12
T-0221,T-0221-I1,Ambulance procurement,ambulance_vehicle,26,unit,2213359.61
T-0222,T-0222-I1,Medical consumables supply,medical_supplies,46591,unit,503.58
T-0223,T-0223-I1,Medical consumables supply,medical_supplies,25592,unit,584.88
T-0225,T-0225-I1,Ambulance procurement,ambulance_vehicle,13,unit,1739341.94
T-0228,T-0228-I1,Generic drug supply,drugs_generic,816776,strip,22.14
T-0252,T-0252-I1,Solar street lighting,solar_streetlight,729,unit,13635.5
T-0253,T-0253-I1,Solar street lighting,solar_streetlight,563,unit,15610.95
T-0254,T-0254-I1,Solar street lighting,solar_streetlight,296,unit,14735.53
T-0259,T-0259-I1,Solar street lighting,solar_streetlight,608,unit,13619.18
T-0260,T-0260-I1,Solar street lighting,solar_streetlight,673,unit,17246.49
T-0262,T-0262-I1,Solar street lighting,solar_streetlight,399,unit,15995.69
T-0263,T-0263-I1,Solar street lighting,solar_streetlight,795,unit,14418.62
T-0273,T-0273-I1,Solar street lighting,solar_streetlight,265,unit,15314.26
T-0275,T-0275-I1,Solar street lighting,solar_streetlight,882,unit,12913.74
T-0277,T-0277-I1,Solar street lighting,solar_streetlight,206,unit,15802.45
T-0281,T-0281-I1,Solar street lighting,solar_streetlight,805,unit,15085.12
T-0284,T-0284-I1,Solar street lighting,solar_streetlight,96,unit,13400.83
T-0285,T-0285-I1,Solar street lighting,solar_streetlight,201,unit,12455.67
T-0286,T-0286-I1,Solar street lighting,solar_streetlight,394,unit,12438.33
T-0291,T-0291-I1,Solar street lighting,solar_streetlight,397,unit,16051.05
T-0294,T-0294-I1,Solar street lighting,solar_streetlight,661,unit,16804.75
T-0297,T-0297-I1,Solar street lighting,solar_streetlight,455,unit,12765.91
T-0299,T-0299-I1,Solar street lighting,solar_streetlight,320,unit,15876.67
T-0305,T-0305-I1,Solar street lighting,solar_streetlight,323,unit,13903.23
T-0307,T-0307-I1,Solar street lighting,solar_streetlight,698,unit,13699.73
T-0310,T-0310-I1,Ambulance procurement,ambulance_vehicle,29,unit,1917779.4
T-0312,T-0312-I1,Generic drug supply,drugs_generic,77764,strip,26.03
T-0314,T-0314-I1,Medical consumables supply,medical_supplies,20991,unit,458.95
T-0320,T-0320-I1,Generic drug supply,drugs_generic,89084,strip,24.95
T-0323,T-0323-I1,Medical consumables supply,medical_supplies,28829,unit,477.04
T-0324,T-0324-I1,Medical consumables supply,medical_supplies,44333,unit,585.04
T-0325,T-0325-I1,Medical consumables supply,medical_supplies,4267,unit,589.01
T-0327,T-0327-I1,Medical consumables supply,medical_supplies,53280,unit,582.73
T-0330,T-0330-I1,Generic drug supply,drugs_generic,524162,strip,20.36
T-0331,T-0331-I1,Medical consumables supply,medical_supplies,12775,unit,617.96
T-0334,T-0334-I1,Ambulance procurement,ambulance_vehicle,23,unit,2029916.62
T-0337,T-0337-I1,Medical consumables supply,medical_supplies,32256,unit,493.49
