ocid,tender_id,lot,buyer_id,title,category_code,category_label,procurement_kind,procurement_method,publish_date,tender_period_days,estimate_value,quantity,unit,scope_metric_value,scope_metric_unit,n_bids_published,bids_published,status,award_id,awarded_vendor_id,awarded_value,award_date,emergency_declared,proprietary_certificate,framework_ref,reserved_for_mse,justification_note,scenario_truth
ocds-pgraph-T-0001,T-0001,1,B-026,Laptop and IT hardware supply - Sambalpur (Jul 2024),laptops_it,Laptop and IT hardware supply,goods,open,2024-07-11,10,32583932.7,707,unit,707,unit,4,1,complete,A-0001,V-0046,28170331.14,2024-08-11,0,0,,0,,competitive
ocds-pgraph-T-0002,T-0002,1,B-026,Manned security services - Sambalpur (Nov 2023),security_services,Manned security services,services,open,2023-11-02,14,8448105.95,376,man-month,376,man-month,1,1,complete,A-0002,V-0048,8369416.87,2023-12-17,0,0,,0,,competitive
ocds-pgraph-T-0003,T-0003,1,B-026,Laptop and IT hardware supply - Sambalpur (Nov 2023),laptops_it,Laptop and IT hardware supply,goods,open,2023-11-24,21,9785523.98,219,unit,219,unit,4,1,complete,A-0003,V-0046,8159243.96,2024-01-20,0,0,,0,,competitive
ocds-pgraph-T-0004,T-0004,1,B-026,Manned security services - Sambalpur (Nov 2025),security_services,Manned security services,services,open,2025-11-10,14,11992577.38,506,man-month,506,man-month,3,1,complete,A-0004,V-0048,10317577.4,2025-12-05,0,0,,0,,competitive
ocds-pgraph-T-0005,T-0005,1,B-026,Manned security services - Sambalpur (Feb 2024),security_services,Manned security services,services,open,2024-02-03,14,11176078.42,541,man-month,541,man-month,5,1,complete,A-0005,V-0157,10243737.66,2024-04-01,0,0,,0,,competitive
ocds-pgraph-T-0006,T-0006,1,B-026,Laptop and IT hardware supply - Sambalpur (Aug 2024),laptops_it,Laptop and IT hardware supply,goods,open,2024-08-20,30,13625173.08,316,unit,316,unit,4,1,complete,A-0006,V-0046,10866656.65,2024-10-08,0,0,,0,,competitive
ocds-pgraph-T-0007,T-0007,1,B-026,Laptop and IT hardware supply - Sambalpur (Apr 2026),laptops_it,Laptop and IT hardware supply,goods,open,2026-04-20,14,26205807.17,528,unit,528,unit,5,1,complete,A-0007,V-0046,22098604.21,2026-05-26,0,0,,0,,competitive
ocds-pgraph-T-0008,T-0008,1,B-026,Laptop and IT hardware supply - Sambalpur (Jan 2023),laptops_it,Laptop and IT hardware supply,goods,open,2023-01-05,7,27166741.05,686,unit,686,unit,3,1,complete,A-0008,V-0046,24123098.12,2023-02-02,0,0,,0,,competitive
ocds-pgraph-T-0009,T-0009,1,B-026,Laptop and IT hardware supply - Sambalpur (Oct 2022),laptops_it,Laptop and IT hardware supply,goods,open,2022-10-22,14,28240828.25,710,unit,710,unit,5,1,complete,A-0009,V-0046,23992240.06,2022-11-28,0,0,,0,,competitive
ocds-pgraph-T-0010,T-0010,1,B-026,Manned security services - Sambalpur (Nov 2025),security_services,Manned security services,services,open,2025-11-23,21,1441766.23,58,man-month,58,man-month,7,1,complete,A-0010,V-0157,1172471.51,2026-01-15,0,0,,0,,competitive
ocds-pgraph-T-0011,T-0011,1,B-026,Manned security services - Sambalpur (Nov 2023),security_services,Manned security services,services,open,2023-11-09,14,7616546.33,336,man-month,336,man-month,1,1,complete,A-0011,V-0048,7336232.15,2023-12-23,0,0,,0,,competitive
ocds-pgraph-T-0012,T-0012,1,B-026,Manned security services - Sambalpur (Apr 2024),security_services,Manned security services,services,open,2024-04-18,7,12530322.49,574,man-month,574,man-month,3,1,complete,A-0012,V-0086,10889534.57,2024-05-16,0,0,,0,,competitive
ocds-pgraph-T-0013,T-0013,1,B-026,Manned security services - Sambalpur (Mar 2024),security_services,Manned security services,services,open,2024-03-18,21,10052948.33,407,man-month,407,man-month,5,1,complete,A-0013,V-0086,9005501.15,2024-04-23,0,0,,0,,competitive
ocds-pgraph-T-0014,T-0014,1,B-026,Laptop and IT hardware supply - Sambalpur (Mar 2023),laptops_it,Laptop and IT hardware supply,goods,open,2023-03-05,14,30288489.1,759,unit,759,unit,3,1,complete,A-0014,V-0046,28616927.97,2023-04-30,0,0,,0,,competitive
ocds-pgraph-T-0015,T-0015,1,B-026,Laptop and IT hardware supply - Sambalpur (Oct 2022),laptops_it,Laptop and IT hardware supply,goods,open,2022-10-17,21,25598960.42,603,unit,603,unit,3,1,complete,A-0015,V-0046,20196170.61,2022-12-22,0,0,,0,,competitive
